User_ID,Product_ID,Category,Add_to_Cart_Timestamp,Purchase_Timestamp,Cart_Duration_Minutes,Purchase_Flag
U0103,P00632,Books,2025-03-21 00:11:00,2025-03-21 00:16:00,3.94,1
U0436,P00894,Beauty,2025-01-24 01:52:00,,,0
U0861,P00567,Electronics,2025-01-08 17:56:00,,,0
U0271,P00027,Grocery,2025-01-05 21:12:00,2025-01-06 01:12:00,6.49,1
U0107,P00630,Books,2025-03-24 02:25:00,2025-03-24 03:25:00,12.61,1
U0072,P00733,Fitness,2025-02-27 11:01:00,2025-02-27 12:01:00,14.01,1
U0701,P00231,Clothing,2025-03-16 11:27:00,2025-03-16 15:27:00,16.88,1
U0021,P00565,Beauty,2025-03-23 12:36:00,2025-03-23 12:51:00,20.85,1
U0615,P00807,Clothing,2025-03-27 11:01:00,,,0
U0122,P00321,Fitness,2025-01-07 23:11:00,2025-01-08 00:11:00,12.57,1
U0467,P00913,Grocery,2025-01-16 22:39:00,2025-01-17 02:39:00,14.12,1
U0215,P00233,Clothing,2025-03-01 08:31:00,2025-03-01 12:31:00,3.82,1
U0331,P00670,Clothing,2025-01-15 04:12:00,2025-01-15 04:17:00,21.53,1
U0459,P00437,Books,2025-01-05 10:09:00,2025-01-05 10:14:00,18.07,1
U0088,P00781,Grocery,2025-02-21 12:40:00,,,0
U0373,P00533,Electronics,2025-02-22 13:49:00,2025-02-22 14:04:00,23.55,1
U0100,P00403,Beauty,2025-01-15 09:55:00,2025-01-15 10:55:00,18.35,1
U0872,P00053,Electronics,2025-01-07 07:27:00,2025-01-07 07:42:00,24.36,1
U0664,P00787,Clothing,2025-02-01 02:14:00,2025-02-01 02:19:00,0.78,1
U0131,P00313,Beauty,2025-04-10 20:05:00,2025-04-10 20:10:00,3.95,1
U0662,P00281,Books,2025-03-06 03:10:00,,,0
U0309,P00726,Beauty,2025-01-26 04:22:00,2025-01-26 05:22:00,3.75,1
U0770,P00031,Books,2025-04-03 20:47:00,2025-04-03 21:47:00,14.09,1
U0344,P00337,Books,2025-04-01 06:39:00,,,0
U0492,P00183,Clothing,2025-03-18 22:58:00,2025-03-18 23:03:00,15.06,1
U0414,P00023,Fitness,2025-01-16 03:39:00,2025-01-16 03:54:00,7.7,1
U0806,P00544,Clothing,2025-03-21 20:41:00,2025-03-22 00:41:00,21.2,1
U0386,P00446,Books,2025-01-25 11:11:00,2025-01-25 15:11:00,27.33,1
U0192,P00074,Books,2025-03-31 04:47:00,2025-03-31 05:02:00,27.47,1
U0956,P00010,Electronics,2025-04-07 08:11:00,,,0
U0277,P00484,Books,2025-03-10 21:51:00,,,0
U0161,P00456,Fitness,2025-02-23 23:34:00,2025-02-23 23:39:00,6.8,1
U0460,P00566,Electronics,2025-03-10 01:45:00,2025-03-10 01:50:00,27.38,1
U0314,P00564,Beauty,2025-04-08 12:38:00,,,0
U0022,P00660,Clothing,2025-02-27 13:10:00,2025-02-27 13:25:00,22.14,1
U0253,P00160,Grocery,2025-02-11 05:03:00,2025-02-11 05:08:00,29.2,1
U0748,P00882,Beauty,2025-02-22 00:06:00,2025-02-22 04:06:00,1.4,1
U0857,P00014,Beauty,2025-02-25 08:07:00,2025-02-25 08:22:00,21.86,1
U0561,P00178,Beauty,2025-02-20 09:42:00,2025-02-20 09:57:00,19.0,1
U0475,P00412,Clothing,2025-01-15 05:14:00,2025-01-15 05:19:00,2.5,1
U0059,P00878,Grocery,2025-01-05 18:53:00,2025-01-05 19:53:00,9.47,1
U0511,P00053,Electronics,2025-02-20 09:11:00,2025-02-20 10:11:00,7.93,1
U0682,P00408,Grocery,2025-01-04 17:15:00,2025-01-04 17:30:00,23.08,1
U0476,P00847,Electronics,2025-02-05 22:11:00,2025-02-05 22:26:00,25.2,1
U0700,P00022,Fitness,2025-04-08 03:36:00,2025-04-08 04:36:00,19.89,1
U0976,P00030,Grocery,2025-03-08 08:52:00,,,0
U0783,P00703,Clothing,2025-01-18 10:34:00,,,0
U0190,P00260,Electronics,2025-03-04 22:33:00,2025-03-04 22:48:00,6.61,1
U0958,P00205,Clothing,2025-03-19 03:28:00,2025-03-19 07:28:00,24.23,1
U0687,P00059,Beauty,2025-02-10 12:49:00,2025-02-10 16:49:00,13.27,1
U0958,P00471,,2025-03-20 09:15:00,,,0
U0563,P00776,Clothing,2025-03-17 19:04:00,2025-03-17 20:04:00,20.45,1
U0876,P00466,Electronics,2025-04-08 09:00:00,2025-04-08 09:05:00,16.69,1
U0567,P00012,Fitness,2025-02-08 16:47:00,2025-02-08 20:47:00,12.66,1
U0244,P00631,Beauty,2025-04-01 23:34:00,2025-04-01 23:39:00,10.16,1
U0832,P00927,Fitness,2025-02-15 09:53:00,2025-02-15 09:58:00,8.08,1
U0505,P00974,Electronics,2025-02-08 16:37:00,2025-02-08 17:37:00,12.51,1
U0131,P00290,Beauty,2025-01-23 21:03:00,,,0
U0485,P00850,Books,2025-02-18 08:03:00,2025-02-18 08:18:00,23.82,1
U0819,P00760,Fitness,2025-03-12 22:01:00,2025-03-12 23:01:00,15.42,1
U0647,P00354,Electronics,2025-02-18 23:39:00,2025-02-18 23:54:00,23.88,1
U0021,P00639,Grocery,2025-04-05 14:30:00,,,0
U0841,P00075,Fitness,2025-02-09 15:50:00,2025-02-09 16:50:00,15.6,1
U0167,P00873,Fitness,2025-02-12 01:54:00,2025-02-12 02:09:00,28.48,1
U0274,P00716,Beauty,2025-03-29 16:59:00,2025-03-29 17:14:00,0.58,1
U0388,P00561,Electronics,2025-03-31 15:56:00,2025-03-31 16:11:00,23.92,1
U0601,P00591,Electronics,2025-03-18 14:26:00,2025-03-18 14:31:00,14.95,1
U0316,P00441,Fitness,2025-03-09 15:29:00,2025-03-09 15:34:00,12.91,1
U0014,P00991,Fitness,2025-01-30 03:02:00,2025-01-30 04:02:00,2.41,1
U0242,P00241,Grocery,2025-03-27 16:21:00,2025-03-27 16:36:00,19.82,1
U0777,P00861,Electronics,2025-02-18 11:54:00,2025-02-18 15:54:00,15.07,1
U0346,P00154,Books,2025-03-26 23:03:00,2025-03-26 23:08:00,6.87,1
U0565,P00786,Books,2025-04-05 11:30:00,2025-04-05 12:30:00,17.96,1
U0898,P00096,Fitness,2025-02-27 22:53:00,2025-02-27 23:08:00,7.75,1
U0340,P00726,Beauty,2025-02-22 19:14:00,2025-02-22 19:19:00,21.04,1
U0092,P00294,Electronics,2025-01-23 15:36:00,2025-01-23 16:36:00,24.67,1
U0367,P00209,Grocery,2025-01-21 14:16:00,2025-01-21 14:21:00,21.21,1
U0956,P00343,Fitness,2025-02-06 12:18:00,,,0
U0455,P00088,Electronics,2025-01-30 12:17:00,2025-01-30 13:17:00,1.81,1
U0428,P00818,Grocery,2025-03-19 03:35:00,2025-03-19 04:35:00,8.43,1
U0509,P00776,Grocery,2025-03-25 19:18:00,2025-03-25 19:23:00,26.83,1
U0776,P00937,Beauty,2025-02-13 06:56:00,2025-02-13 07:11:00,19.39,1
U0943,P00390,Electronics,2025-02-13 20:03:00,2025-02-13 20:18:00,10.0,1
U0035,P00325,Fitness,2025-02-03 01:04:00,2025-02-03 02:04:00,21.76,1
U0206,P00940,Clothing,2025-02-24 09:31:00,2025-02-24 09:36:00,12.41,1
U0081,P00889,Beauty,2025-02-11 08:12:00,2025-02-11 08:17:00,22.38,1
U0932,P00832,Books,2025-03-10 09:09:00,2025-03-10 09:24:00,26.61,1
U0562,P00157,Electronics,2025-04-01 18:20:00,2025-04-01 18:35:00,0.81,1
U0872,P00668,Fitness,2025-01-08 00:27:00,2025-01-08 00:32:00,21.19,1
