ticket_id,created_at,resolved_at,category,system_name,priority,status,resolution_notes,root_cause,resolution_time_hrs,sla_breached,created_day,created_hour
1,2025-05-15 00:48:29,2025-05-17 02:48:29,Report Error,FDW_App1,High,Closed,American whole magazine truth stop whose.,User Error,50.0,True,Thursday,0
2,2025-05-12 09:26:13,2025-05-15 00:26:13,Report Error,Report_Portal,Critical,Closed,Through despite cause cause believe son would mouth.,Permission Missing,63.0,True,Monday,9
3,2025-06-05 01:39:18,2025-06-06 05:39:18,Login Failure,FDW_App2,High,Closed,Financial role together range.,Network Glitch,28.0,True,Thursday,1
4,2025-05-23 11:17:38,2025-05-24 00:17:38,Login Failure,Report_Portal,Medium,Closed,Beyond its particularly tree whom local tend.,Permission Missing,13.0,True,Friday,11
5,2025-05-02 22:06:45,2025-05-03 11:06:45,Batch Job,Report_Portal,Critical,Closed,Source nature add rest.,User Error,13.0,True,Friday,22
6,2025-05-16 08:26:52,2025-05-16 21:26:52,Server Down,Control-M,High,Closed,Ability management test during foot that course nothing.,User Error,13.0,True,Friday,8
7,2025-04-30 19:08:13,2025-05-01 22:08:13,Login Failure,Control-M,Critical,Closed,Sort language ball floor.,User Error,27.0,True,Wednesday,19
8,2025-05-26 22:42:32,2025-05-28 08:42:32,Batch Job,CyberArk,Low,Closed,Board necessary religious natural sport music white.,Configuration Error,34.0,True,Monday,22
9,2025-06-05 04:38:45,2025-06-07 08:38:45,Batch Job,CyberArk,Critical,Closed,Onto knowledge other his offer face country.,Permission Missing,52.0,True,Thursday,4
10,2025-04-25 18:13:58,2025-04-27 02:13:58,Server Down,FDW_App1,Medium,Closed,Party prevent live.,User Error,32.0,True,Friday,18
11,2025-04-16 08:25:39,2025-04-17 13:25:39,Access Issue,FDW_App2,Critical,Closed,Theory type successful together.,Configuration Error,29.0,True,Wednesday,8
12,2025-05-30 02:48:38,2025-05-30 13:48:38,Server Down,CyberArk,Critical,Closed,Study modern miss dog Democrat quickly.,Configuration Error,11.0,True,Friday,2
13,2025-05-18 08:26:55,2025-05-19 23:26:55,Login Failure,Report_Portal,Low,Closed,Every manage political record word group food break.,User Error,39.0,True,Sunday,8
14,2025-06-03 15:06:17,2025-06-05 10:06:17,Login Failure,FDW_App2,High,Closed,Friend couple administration even relate head color international.,Database Timeout,43.0,True,Tuesday,15
15,2025-04-13 16:02:26,2025-04-14 04:02:26,Login Failure,Control-M,High,Closed,Situation talk despite stage.,User Error,12.0,True,Sunday,16
