ticket_id,created_at,resolved_at,category,system_name,priority,status,resolution_notes,root_cause
1,2025-05-15 00:48:29,2025-05-17 02:48:29,Report Error,FDW_App1,High,Closed,American whole magazine truth stop whose.,User Error
2,2025-05-12 09:26:13,2025-05-15 00:26:13,Report Error,Report_Portal,Critical,Closed,Through despite cause cause believe son would mouth.,Permission Missing
3,2025-06-05 01:39:18,2025-06-06 05:39:18,Login Failure,FDW_App2,High,Closed,Financial role together range.,Network Glitch
4,2025-05-23 11:17:38,2025-05-24 00:17:38,Login Failure,Report_Portal,Medium,Closed,Beyond its particularly tree whom local tend.,Permission Missing
5,2025-05-02 22:06:45,2025-05-03 11:06:45,Batch Job,Report_Portal,Critical,Closed,Source nature add rest.,User Error
6,2025-05-16 08:26:52,2025-05-16 21:26:52,Server Down,Control-M,High,Closed,Ability management test during foot that course nothing.,User Error
7,2025-04-30 19:08:13,2025-05-01 22:08:13,Login Failure,Control-M,Critical,Closed,Sort language ball floor.,User Error
8,2025-05-26 22:42:32,2025-05-28 08:42:32,Batch Job,CyberArk,Low,Closed,Board necessary religious natural sport music white.,Configuration Error
9,2025-06-05 04:38:45,2025-06-07 08:38:45,Batch Job,CyberArk,Critical,Closed,Onto knowledge other his offer face country.,Permission Missing
10,2025-04-25 18:13:58,2025-04-27 02:13:58,Server Down,FDW_App1,Medium,Closed,Party prevent live.,User Error
11,2025-04-16 08:25:39,2025-04-17 13:25:39,Access Issue,FDW_App2,Critical,Closed,Theory type successful together.,Configuration Error
12,2025-05-30 02:48:38,2025-05-30 13:48:38,Server Down,CyberArk,Critical,Closed,Study modern miss dog Democrat quickly.,Configuration Error
13,2025-05-18 08:26:55,2025-05-19 23:26:55,Login Failure,Report_Portal,Low,Closed,Every manage political record word group food break.,User Error
14,2025-06-03 15:06:17,2025-06-05 10:06:17,Login Failure,FDW_App2,High,Closed,Friend couple administration even relate head color international.,Database Timeout
15,2025-04-13 16:02:26,2025-04-14 04:02:26,Login Failure,Control-M,High,Closed,Situation talk despite stage.,User Error
16,2025-05-29 11:53:35,2025-05-30 18:53:35,Server Down,FDW_App2,Medium,Closed,Quite ago play paper office hospital have wonder.,Network Glitch
17,2025-04-11 03:55:16,2025-04-11 08:55:16,Login Failure,Report_Portal,Critical,Closed,Against which continue buy decision song view age.,Configuration Error
18,2025-05-18 22:53:07,2025-05-19 10:53:07,Access Issue,FDW_App2,Low,Closed,Big employee determine positive go Congress mean always.,Configuration Error
19,2025-04-17 10:17:06,2025-04-20 08:17:06,Report Error,CyberArk,High,Closed,Current grow rule stuff truth college.,User Error
20,2025-04-27 09:06:44,2025-04-28 16:06:44,Access Issue,CyberArk,Critical,Closed,Small citizen class morning.,User Error
21,2025-04-19 00:14:50,2025-04-20 12:14:50,Report Error,Control-M,High,Closed,Tv program actually race tonight themselves true power.,Configuration Error
22,2025-05-15 08:43:25,2025-05-17 02:43:25,Login Failure,FDW_App1,Critical,Closed,Check real leader bad school.,User Error
23,2025-05-30 11:28:40,2025-06-01 06:28:40,Access Issue,FDW_App2,Low,Closed,Care several loss particular pull.,Unknown
24,2025-06-03 22:34:06,2025-06-05 09:34:06,Batch Job,FDW_App2,High,Closed,Car financial security stock ball organization recognize civil.,Network Glitch
25,2025-04-29 06:58:38,2025-05-01 01:58:38,Report Error,FDW_App1,Low,Closed,Her then nothing increase I reduce industry.,Network Glitch
26,2025-04-12 04:07:34,2025-04-13 09:07:34,Batch Job,CyberArk,Low,Closed,Knowledge else citizen month.,Configuration Error
27,2025-05-24 22:31:58,2025-05-25 14:31:58,Access Issue,CyberArk,Low,Closed,Page a although for study anyone state.,Database Timeout
